"","kamari22","isla22","raya22","hilda22","maui22"
"kamari22",0,22,15,24,0
"isla22",16,0,21,14,0
"raya22",18,21,0,6,0
"hilda22",19,19,4,0,0
"maui22",1,0,3,0,0
